,Abbreviation,FullForm
0,,
1,a$$ ,ass
2,a&f ,always and forever
3,a'ight ,alright
4,a.i.m. ,aol instant messanger
5,a/l ,age and location
6,a/m ,away message
7,a/s/l ,"age,sex,location"
8,a/s/l/p ,age/sex/location/picture
9,a/s/l/r ,"age, sex, location, race"
10,a1t ,anyone there
11,A2A ,Ask to Answer
12,a3 ,"anyplace, anywhere, anytime"
13,a4u ,all for you
14,A7X ,Avenged Sevenfold
15,aaaaa ,American Assosciation Against Acronym Abuse
16,aabf ,as a best friend
17,aaf ,as a friend
18,aak ,Alive and Kicking
19,aamof ,as a matter of fact
20,aatf ,always and totally forever
21,aatw ,all around the world
22,abd ,Already Been Done
23,abend ,absent by enforced net deprivation
24,abft ,About f**king Time
25,aboot ,about
26,abreev ,abbreviation
27,absnt ,absent
28,abt ,about
29,abwt ,about
30,acc ,account
31,acct ,account
32,acgaf ,Absolutely couldn't give a f**k
33,ack ,acknowledged
34,addy ,address
35,adhd ,Attention Deficit Hyperactivity Disorder
36,adl ,all day long
37,admin ,administrator
38,adn ,any day now
39,aeap ,as early as possible
40,af ,assface
41,afaiaa ,As Far As I Am Aware
42,afaic ,as far as I'm concerned
43,afaicr ,As Far As I Can Remember
44,afaicr4 ,as far as i can remember for
45,afaics ,as far as I can see
46,afaict ,as far as I can tell
47,afaik ,as far as I know
48,afair ,as far as I recall
49,afaiu ,As far as I understand
50,afc ,away from computer
51,afcpmgo ,away from computer parents may go on
52,afg ,away from game
53,afk ,away from keyboard
54,afkb ,away from keyboard
55,agn ,again
56,ah ,ass hole
57,ahole ,a**h**e
58,ai ,Artificial Intelligence
59,aiadw ,ALL IN A DAYS WORK
60,aiamu ,and I'm a monkey's uncle
61,aicmfp ,and I claim my five pounds
62,aight ,Alright
63,aightz ,alright
64,aiic ,as if I care
65,aiid ,and if I did
66,aiight ,all right
67,aim ,AOL instant messanger
68,aimmc ,Am I making myself clear 
69,ain't ,am not
70,aite ,Alright
71,aitr ,Adult in the room
72,aiui ,as I understand it
73,aiws ,as i was saying
74,ajax ,Asynchronous Javascript and XML
75,aka ,also known as
76,akp ,Alexander King Project
77,akpcep ,Alexander King Project Cultural Engineering Project
78,alaylm ,As long as you love me
79,alaytm ,as long as you tell me
80,alol ,actually laughing out loud
81,alot ,a lot
82,alotbsol ,always look on the bright side of life
83,alright ,all right
84,alrite ,Alright
85,alrt ,alright
86,alryt ,alright
87,ama ,ask me anything
88,amf ,adios motherf**ker
89,amiic ,ask me if i care
90,amiigaf ,ask me if i give a f**k
91,aml ,All My Love
92,ams ,Ask me something
93,amsp ,ask me something personal
94,anim8 ,animate
95,anl ,all night long
96,anlsx ,Anal Sex
97,anon ,anonymous
98,anuda ,another
99,anw ,anyways
100,anwwi ,alright now where was i
101,any1 ,Anyone
102,anywaz ,anyways
103,aob ,any other business
104,aoc ,age of consent
105,aoe ,Age Of Empires
106,aon ,all or nothing
107,aos ,adult over shoulder
108,aota ,all of the above
109,aoto ,Amen on that one
110,aoys ,angel on your shoulder
111,api ,application program interface
112,apoc ,apocalypse
113,apod ,Another Point Of Discussion
114,app ,application
115,appt ,appointment
116,aprece8 ,appreciate
117,apreci8 ,appreciate
118,apu ,as per usual
119,aqap ,as quick as possible
120,ar ,are
121,arnd ,around
122,arse ,ass
123,arsed ,bothered
124,arvo ,afternoon
125,asafp ,as soon as f**king possible
