User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentiment,UserReviewSentiment
5.0,"I have quite impressed with the amazing quality of the pressure cooker. while ordering, I was in doubt about the quality, but once it arrived i have checked and fully satisfied with the product. Thank you Butterfly & Flipkart team for providing such a excellent product. Keep it up!",Sushant Chaulkar,"Jun, 2019",2019-06-02,I quite impress amazing quality pressure cooker order I doubt quality arrive check fully satisfy product Thank Butterfly Flipkart team provide excellent product Keep,pos,pos
5.0,Youre Delivery from Flipkart not 5   I will give 100  to Butter fly for a excellent product and once again thank Flipkart you  groups proved yoyo groups are the best in the industry,Patrick Michael,5months ago,2020-03-02,Youre Delivery Flipkart 5 I give 100 Butter fly excellent product thank Flipkart group prove yoyo group best industry,pos,pos
4.0,this price is very best for this product and a valuable company trust over all very good,chetan singh,7months ago,2020-01-02,price best product valuable company trust good,pos,pos
4.0,it is very nice product so I am happy and excited about this price... thank you Flipkart,Lokanath Patra,"Jan, 2019",2019-01-02,nice product I happy excite price thank Flipkart,pos,pos
5.0,Nice product. Worth of writing a review. Excellent delivery experience. Delivered one day before the promised date.,Sultan Mustafijul Hoque,"Nov, 2018",2018-11-02,Nice product Worth write review Excellent delivery experience Delivered one day promised date,pos,pos
5.0,super good work I like that is,Flipkart Customer,10months ago,2019-10-02,super good work I like,pos,pos
4.0,i bought this to my wife.. she felt very happy since the cooker is handy and nice,Nagaraj  Govindaraj,7months ago,2020-01-02,buy wife felt happy since cooker handy nice,pos,pos
5.0,good product worth for money pack is also good on time delivery I love the product,Flipkart Customer,8months ago,2019-12-02,good product worth money pack also good time delivery I love product,pos,pos
4.0,very nice super product but no SI mark improve your quality packing not satisfied screw missing so perfect your packing overall good,Ganesh Rk,8months ago,2019-12-02,nice super product SI mark improve quality pack satisfy screw miss perfect pack overall good,pos,pos
5.0,"Good Cooker, I have been using it from 4 months. It's good and easy to clean.",Pankaj Tiwari,8months ago,2019-12-02,Good Cooker I use 4 month It good easy clean,pos,pos
5.0,The product is good and came in good packaging.We bought this for gifting at marriage bit torrent my mom liked it so much that we bought it for home too..,Jyoti B,8months ago,2019-12-02,The product good come good packaging We buy gift marriage bit torrent mom like much buy home,pos,pos
