User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentiment,UserReviewSentiment
5.0,very good product & excellently packed & delivered well before due date.what else can a customer expect. The rate of the item is also very competitive.I really appreciate the thorough & professional approach of Flipkart.Thanks Flipkart.,vijay narendra,8months ago,2019-12-02,good product excellently pack deliver well due date else customer expect The rate item also competitive I really appreciate thorough professional approach Flipkart Thanks Flipkart,pos,pos
5.0,Just delivered today superb service and the product was really good ..packaging... secondary packaging everything.... on time delivery..... and just I am checking it and it is work perfectly... totally good Thank you Flipkart....,Sanju Saji,9months ago,2019-11-02,Just deliver today superb service product really good packaging secondary packaging everything time delivery I check work perfectly totally good Thank Flipkart,pos,pos
4.0,"It's a decent juicer mixer grinder. On my first purchase I received the mixer with broken regulator, flipkart and the seller were quick to respond to the replacement request and replacement was provided within 2 days! The build quality of the mixer seems like cheap plastic and the finishing could be better. Apart from this, the mixer works pretty well and the jars are of good quality.",Nishitha,27days ago,2020-07-06,It decent juicer mixer grinder On first purchase I receive mixer broken regulator flipkart seller quick respond replacement request replacement provide within 2 day The build quality mixer seem like cheap plastic finishing could good Apart mixer work pretty well jar good quality,pos,pos
5.0,"It is so good, that I brought it for many of my relatives. The machine is powerful and the jars are very hard and easy to grind. And the juicer looks so good and everything works well. I am glad with it and will recommend to everyone one to purchase. Thank you.",Arghya  Dey,8months ago,2019-12-02,It good I bring many relative The machine powerful jar hard easy grind And juicer look good everything work well I glad recommend everyone one purchase Thank,pos,pos
5.0,It's Bauityfly Rapid 4 jar 750 Watts 750 W Juicer very nice product and great service From Tipcart services good quality product...,SAGAR BAWANKAR,9months ago,2019-11-02,It Bauityfly Rapid 4 jar 750 Watts 750 W Juicer nice product great service From Tipcart service good quality product,pos,pos
5.0,Amazing Juicer Grinder and Mixer !! Affordable price and beautiful look . Amazing Power.....Definitely go for it !!,Pushkar Kumar,1month ago,2020-07-02,Amazing Juicer Grinder Mixer Affordable price beautiful look Amazing Power Definitely go,pos,pos
5.0,"original photo for grinder looking is very nice steel I,am satisfied thank you flancard rs 2349 good i use after again put feedbackvery good workingSamall jar stating leaking",Raghvindr Singh,9months ago,2019-11-02,original photo grinder look nice steel I satisfied thank flancard rs 2349 good use put feedbackvery good workingSamall jar state leak,pos,pos
4.0,Great purchase... Mixer is working well and all the 4 jars are perfectly working... juicer jar is the most pretty.. the only Con I noticed is the big sound but considering that this is a 750 watt mixer it is okay... Packing and delivery was perfect thanks to Flipkart.,PRANAV M,"Jan, 2019",2019-01-02,Great purchase Mixer work well 4 jar perfectly work juicer jar pretty Con I notice big sound consider 750 watt mixer okay Packing delivery perfect thanks Flipkart,pos,pos
5.0,best product .sound is very low.I am very satisfied with this product fantastic work .,ranjit pandit,"Nov, 2018",2018-11-02,best product sound low I satisfied product fantastic work,pos,pos
5.0,Awesome product as per my wife this one is incredible if my wife tell this I believe her because I bought her international level products like pauline made in Japan and other famous brand Brain she told me that this beat all off them thanks to butterfly company,Javed Khan,1month ago,2020-07-02,Awesome product per wife one incredible wife tell I believe I buy international level product like pauline make Japan famous brand Brain tell beat thanks butterfly company,pos,pos
