User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentiment,UserReviewSentiment
5.0,Superb,Shaik Allahvali,7days ago,2020-07-26,Superb,pos,pos
4.0,Good one,B. Sheshidhar Reddy,22days ago,2020-07-11,Good one,pos,pos
5.0,Good Oolites,Suman karan,25days ago,2020-07-08,Good Oolites,pos,pos
3.0,Bad product do not buy,Aswin Adarsh,1month ago,2020-07-02,Bad product buy,neg,neg
5.0,Nice product and good quality,Flipkart Customer,1month ago,2020-07-02,Nice product good quality,pos,pos
3.0,It's slightly defect,Flipkart Customer,1month ago,2020-07-02,It slightly defect,neg,neg
3.0,Good tawa,Sk sujat Sujat,1month ago,2020-07-02,Good tawa,pos,pos
4.0,Worth price,Flipkart Customer,5months ago,2020-03-02,Worth price,pos,pos
5.0,Very good product,MOHAN BABU,5months ago,2020-03-02,Very good product,pos,pos
3.0,good,Anjali Ray,5months ago,2020-03-02,good,pos,pos
5.0,good,Udaya Kumar,6months ago,2020-02-02,good,pos,pos
4.0,Good Product..,Yugandhar Kumar Mavuri,2months ago,2020-06-02,Good Product,pos,pos
3.0,Nice good quality,Praveen  Sharma,Today,2020-08-02,Nice good quality,pos,pos
4.0,Okay nice,Flipkart Customer,Today,2020-08-02,Okay nice,pos,pos
4.0,Good product ,Sikandra Kumar,Today,2020-08-02,Good product,pos,pos
5.0,"Amazing product with this prise range, built-in material, colour, quality and design looks eligent! Very application to purchase in my favorite application flipkart- clipart ",Flipkart Customer,1day ago,2020-08-01,Amazing product prise range build material colour quality design look eligent Very application purchase favorite application flipkart clipart,pos,pos
4.0,good product,Flipkart Customer,1day ago,2020-08-01,good product,pos,pos
3.0,Good,Venkatesh Obadina,1day ago,2020-08-01,Good,pos,pos
5.0,Thanks Up,Patiram Yadav,1day ago,2020-08-01,Thanks Up,pos,pos
4.0,Good,Flipkart Customer,1day ago,2020-08-01,Good,pos,pos
5.0,Good product with low budget,Flipkart Customer,1day ago,2020-08-01,Good product low budget,pos,pos
5.0,Good,Venkata Miriyala,1day ago,2020-08-01,Good,pos,pos
4.0,Nice,Flipkart Customer,2days ago,2020-07-31,Nice,pos,pos
4.0,Nice product ,vinay kumar,3days ago,2020-07-30,Nice product,pos,pos
4.0,Very good one,Tanima Das,3days ago,2020-07-30,Very good one,pos,pos
4.0,super quality and good non stick coating...,Krishna Rockey,3days ago,2020-07-30,super quality good non stick coating,pos,pos
3.0,Ok good,Dileepeb Eb,3days ago,2020-07-30,Ok good,pos,pos
5.0,Nice,Kannan Ganesan,3days ago,2020-07-30,Nice,pos,pos
4.0,Good worthy to buy.....,Mohammed Shaik Razaque,3days ago,2020-07-30,Good worthy buy,pos,pos
4.0,Good  but peri,Flipkart Customer,3days ago,2020-07-30,Good peri,pos,pos
4.0,"Handle is not angular, it touches induction cooker.",Sujit Karmakar,3days ago,2020-07-30,Handle angular touch induction cooker,neu,neu
5.0,Good product with good price,Syed Amrin taj,3days ago,2020-07-30,Good product good price,pos,pos
3.0,It's average...not good and not bad,Rahul Agrawal,3days ago,2020-07-30,It average good bad,neu,pos
5.0,Best products,THAKUR DHIRENDRA KUMAR,3days ago,2020-07-30,Best product,pos,pos
5.0,Wow ! It's Worth of money,Flipkart Customer,3days ago,2020-07-30,Wow It Worth money,pos,pos
5.0,Super,rama krishna,4days ago,2020-07-29,Super,pos,pos
4.0,Good product,Vishnu pamireddy Vishnu vardhan,4days ago,2020-07-29,Good product,pos,pos
5.0,Very good,Siraj  Siraj basha,4days ago,2020-07-29,Very good,pos,pos
4.0,Good,Rajesh Kumar,4days ago,2020-07-29,Good,pos,pos
4.0,Good,Hemanth kumar BL,4days ago,2020-07-29,Good,pos,pos
5.0,Very nice... worth :),Harsha R,4days ago,2020-07-29,Very nice worth,pos,pos
